orijinal,çeviri,süre
The quick brown fox jumps over the lazy dog.,Hızlı kahverengi tilki tembel köpeğin üzerinden atlar.,0.31398653984069824
Artificial intelligence is changing the world.,Yapay zeka dünyayı değiştiriyor.,0.1775052547454834
Machine learning is a subset of artificial intelligence.,Makine öğrenimi yapay zeka bir alt kümedir.,0.21641755104064941
Natural language processing helps machines understand human language.,Doğal dil işleme makinelerin insan dilini anlamalarına yardımcı olur.,0.2735161781311035
Deep learning models are a type of neural network.,Derin öğrenme modelleri bir tür sinir ağıdır.,0.22161126136779785
Data science is an interdisciplinary field that uses scientific methods.,"Veri bilimi, bilimsel yöntemleri kullanan disiplinlerarası bir alan.",0.2954845428466797
The weather today is sunny with a slight breeze.,Bugün hava güneşli ve hafif bir rüzgarla.,0.23114395141601562
I love reading books about technology and science.,Teknoloji ve bilim hakkında kitap okumayı seviyorum.,0.18308424949645996
Humans and computers are collaborating more than ever before.,İnsanlar ve bilgisayarlar daha önce hiç olmadığı kadar işbirliği yapıyor.,0.2307887077331543
The internet has revolutionized how we communicate and share information.,"İnternet, iletişim ve bilgi paylaşım tarzımızda devrim yarattı.",0.259768009185791
Space exploration is one of humanity's greatest achievements.,Uzay keşfi insanlığın en büyük başarılarından biridir.,0.23233985900878906
Electric cars are becoming more popular in modern society.,Elektrikli otomobiller modern toplumda daha popüler hale geliyor.,0.22796964645385742
The stock market can be unpredictable and volatile.,Borsa tahmin edilemez ve değişken olabilir.,0.18633818626403809
Climate change is a global challenge that needs urgent attention.,"İklim değişikliği, acil bir şekilde dikkat edilmesi gereken küresel bir zorluk.",0.34165358543395996
Cybersecurity is crucial to protect data from malicious attacks.,"Kiber güvenlik, verileri zararlı saldırılardan korumak için çok önemlidir.",0.30844712257385254
Smartphones have become an essential part of daily life.,Akıllı telefonlar günlük yaşamın önemli bir parçası haline geldi.,0.23656249046325684
Social media platforms influence how people interact online.,Sosyal medya platformları insanların çevrimiçi etkileşimlerini etkilemektedir.,0.27862048149108887
The internet of things is making everyday devices smarter.,İşlerin interneti günlük cihazları daha akıllı hale getiriyor.,0.24861431121826172
Renewable energy sources like solar power are growing in popularity.,Güneş enerjisi gibi yenilenebilir enerji kaynakları popülerlik kazanıyor.,0.3030552864074707
Globalization is shaping economies and cultures around the world.,Küreselleşme dünya çapında ekonomileri ve kültürleri şekillendiriyor.,0.3137083053588867
The healthcare industry is undergoing rapid technological advancements.,Sağlık sektörü hızlı bir şekilde gelişmekte.,0.18970799446105957
Robots are performing tasks that were once done by humans.,Robotlar bir zamanlar insanlar tarafından yapılmış görevleri yerine getiriyor.,0.25937581062316895
Quantum computing has the potential to revolutionize many industries.,Kuantum bilgisayarı birçok endüstride devrim yaratabilir.,0.2796289920806885
The pandemic has changed the way people work and live.,"Pandemi, insanların çalışma ve yaşam şeklini değiştirdi.",0.22080159187316895
Artificial intelligence is used in voice assistants like Siri.,Yapay zeka Siri gibi ses asistanlarında kullanılıyor.,0.24830198287963867
The rise of e-commerce is changing traditional retail models.,E-ticaretin yükselişi geleneksel perakende modelleri değiştiriyor.,0.6722068786621094
Self-driving cars are expected to be common on the roads in the future.,Gelecekte kendi kendine çalışan arabaların yollarda yaygın olacağı bekleniyor.,0.29796338081359863
Big data is transforming how businesses make decisions.,Büyük veri şirketlerin karar alma şeklini değiştiriyor.,0.21707773208618164
The advancement of 5G technology is improving mobile connectivity.,5G teknolojisinin gelişimi mobil bağlantıyı iyileştirmektedir.,0.26159095764160156
Social distancing is a measure to prevent the spread of infectious diseases.,"Sosyal mesafe, bulaşıcı hastalıkların yayılmasını önlemek için bir önlemdir.",0.33753418922424316
Technology is reshaping how we learn and access information.,Teknoloji bilgiyi öğrenme ve erişim şeklimizin yeniden şekillendirilmesini sağlıyor.,0.37450337409973145
