timestamp,gpu_utilization,memory_used,memory_total
1746556382.8348258,0, 0, 15360
1746556383.3749516,0, 0, 15360
1746556383.9115486,0, 0, 15360
1746556384.4634547,0, 0, 15360
1746556385.0191731,0, 0, 15360
1746556385.5476096,0, 0, 15360
1746556386.0942311,0, 0, 15360
1746556386.6939971,0, 0, 15360
1746556387.2432735,0, 0, 15360
1746556387.7973146,0, 0, 15360
1746556388.344134,0, 0, 15360
1746556388.8690834,0, 0, 15360
1746556389.3967488,0, 0, 15360
1746556389.9223852,3, 326, 15360
1746556390.4424832,1, 1024, 15360
1746556390.9638157,1, 1056, 15360
1746556391.4890616,1, 1064, 15360
1746556392.0119894,69, 1068, 15360
1746556392.5350811,40, 1068, 15360
1746556393.0640514,45, 1068, 15360
1746556393.5900078,41, 1068, 15360
1746556394.1122227,44, 1068, 15360
1746556394.6351385,41, 1068, 15360
1746556395.15841,45, 1070, 15360
1746556395.68125,45, 1070, 15360
1746556396.2042646,45, 1070, 15360
1746556396.7279825,43, 1070, 15360
1746556397.2506247,42, 1070, 15360
1746556397.788912,28, 1070, 15360
1746556398.3250732,33, 1070, 15360
1746556398.8603847,32, 1070, 15360
1746556399.3903897,31, 1070, 15360
1746556399.9124393,48, 1070, 15360
1746556400.4352877,43, 1070, 15360
1746556400.9584525,40, 1070, 15360
1746556401.4813318,45, 1070, 15360
1746556402.0043445,41, 1070, 15360
1746556402.5294197,45, 1070, 15360
1746556403.0515156,41, 1070, 15360
1746556403.5747535,44, 1070, 15360
1746556404.0977376,45, 1070, 15360
1746556404.621404,44, 1070, 15360
1746556405.1461875,41, 1070, 15360
1746556405.6698625,44, 1070, 15360
1746556406.195293,44, 1070, 15360
1746556406.7177796,43, 1070, 15360
1746556407.2404163,40, 1070, 15360
1746556407.764222,45, 1070, 15360
1746556408.2867973,43, 1070, 15360
1746556408.810497,44, 1070, 15360
1746556409.3330839,44, 1070, 15360
1746556409.88052,37, 1070, 15360
1746556410.4156296,32, 1070, 15360
1746556410.9536607,33, 1070, 15360
1746556411.4883935,32, 1070, 15360
1746556412.0110168,28, 1070, 15360
1746556412.5364108,47, 1070, 15360
1746556413.0586243,44, 1070, 15360
1746556413.5820084,44, 1070, 15360
1746556414.1606681,10, 1070, 15360
1746556414.684705,32, 1070, 15360
1746556415.2082598,44, 1070, 15360
1746556415.7306445,44, 1070, 15360
1746556416.2653017,45, 1070, 15360
1746556416.7884777,45, 1070, 15360
1746556417.3351636,43, 1070, 15360
1746556417.8591492,43, 1070, 15360
1746556418.3841324,43, 1070, 15360
1746556418.9068503,43, 1070, 15360
1746556419.4321134,43, 1070, 15360
1746556419.9584396,44, 1070, 15360
1746556420.4830945,42, 1070, 15360
1746556421.0072966,43, 1070, 15360
1746556421.5309546,41, 1070, 15360
1746556422.0632966,43, 1070, 15360
1746556422.5861855,31, 1070, 15360
1746556423.2239983,9, 1070, 15360
1746556423.8669956,5, 1070, 15360
1746556424.3944743,33, 1070, 15360
1746556424.9178326,44, 1070, 15360
1746556425.4417088,44, 1070, 15360
1746556425.9650958,45, 1070, 15360
1746556426.4892435,44, 1070, 15360
1746556427.012126,43, 1070, 15360
1746556427.5359528,44, 1070, 15360
1746556428.058921,42, 1070, 15360
1746556428.5822284,43, 1070, 15360
1746556429.1053345,41, 1070, 15360
1746556429.628609,45, 1070, 15360
1746556430.150987,41, 1070, 15360
1746556430.6746995,44, 1070, 15360
1746556431.2003264,44, 1070, 15360
1746556431.7242324,43, 1070, 15360
1746556432.248448,43, 1070, 15360
1746556432.772681,42, 1070, 15360
1746556433.2969398,44, 1070, 15360
1746556433.8210404,44, 1070, 15360
1746556434.3496258,44, 1070, 15360
1746556434.891974,31, 1070, 15360
1746556435.4502532,34, 1070, 15360
1746556435.9871821,28, 1070, 15360
1746556436.5189974,29, 1070, 15360
1746556437.0443776,46, 1070, 15360
1746556437.5680165,44, 1070, 15360
1746556438.092082,44, 1070, 15360
1746556438.6157677,45, 1070, 15360
1746556439.1391864,45, 1070, 15360
1746556439.6634185,45, 1070, 15360
1746556440.1979814,45, 1070, 15360
1746556440.7230022,44, 1070, 15360
1746556441.2577667,44, 1070, 15360
1746556441.7839196,46, 1070, 15360
1746556442.325791,44, 1070, 15360
1746556442.8491647,42, 1070, 15360
1746556443.3842056,44, 1070, 15360
1746556443.9073427,43, 1070, 15360
1746556444.43017,44, 1070, 15360
1746556444.953056,44, 1070, 15360
1746556445.4774022,46, 1070, 15360
1746556446.0004225,44, 1070, 15360
1746556446.5231423,46, 1070, 15360
1746556447.0547352,32, 1070, 15360
1746556447.5909827,34, 1070, 15360
1746556448.1264791,35, 1070, 15360
1746556448.6649735,28, 1070, 15360
1746556449.1884527,44, 1070, 15360
1746556449.7112544,44, 1070, 15360
1746556450.2370973,43, 1070, 15360
1746556450.763679,44, 1070, 15360
1746556451.2870796,43, 1070, 15360
1746556451.8107362,45, 1070, 15360
1746556452.3359208,42, 1070, 15360
1746556452.8584888,39, 1070, 15360
1746556453.3824282,42, 1070, 15360
1746556453.9051611,38, 1070, 15360
