Orijinal,Çeviri,Süre (s)
The quick brown fox jumps over the lazy dog.,"Hızlı kahverengi fox, yumuşak köpeğin üstüne atlar.",1.4887759685516357
Artificial intelligence is changing the world.,Yapay zeka dünyayı değiştiriyor.,0.6402773857116699
Machine learning is a subset of artificial intelligence.,Makine öğrenimi yapay zeka alt kümesidir.,0.8061702251434326
Natural language processing helps machines understand human language.,Doğal dil işleme makinelerin insan dilini anlamalarına yardımcı olur.,0.3864009380340576
Deep learning models are a type of neural network.,Derin öğrenme modelleri bir tür sinir ağıdır.,0.4233126640319824
Data science is an interdisciplinary field that uses scientific methods.,"Bilgi Bilimi, bilimsel yöntemleri kullanan disiplinlerarası bir alandır.",0.5490655899047852
The weather today is sunny with a slight breeze.,Bugün hava hafif bir fırtına ile güneşli.,0.6970779895782471
I love reading books about technology and science.,Teknoloji ve bilim hakkında kitap okumayı çok seviyorum.,0.48587584495544434
Humans and computers are collaborating more than ever before.,İnsanlar ve bilgisayarlar her zamankinden daha fazla işbirliği yapıyor.,1.2643587589263916
The internet has revolutionized how we communicate and share information.,"İnternet, iletişim ve bilgi paylaşımını devrimci hale getirdi.",0.7604434490203857
Space exploration is one of humanity's greatest achievements.,Uzay keşfi insanlığın en büyük başarılarından biridir.,0.28168630599975586
Electric cars are becoming more popular in modern society.,Elektrikli araçlar modern toplumda giderek daha popüler hale geliyor.,0.3268241882324219
The stock market can be unpredictable and volatile.,Borsa tahmin edilemez ve değişken olabilir.,0.2809276580810547
Climate change is a global challenge that needs urgent attention.,"İklim değişikliği, acil bir dikkat gerektiren küresel bir meydan okuma.",0.45082998275756836
Cybersecurity is crucial to protect data from malicious attacks.,Bilgisayar güvenliği kötü amaçlı saldırılardan veri korumak için çok önemlidir.,0.40076613426208496
Smartphones have become an essential part of daily life.,Akıllı telefonlar günlük yaşamın önemli bir parçası haline gelmiştir.,0.31969165802001953
Social media platforms influence how people interact online.,"Sosyal medya platformları, insanların çevrimiçi nasıl etkileşime girdiğini etkiler.",0.41791272163391113
The internet of things is making everyday devices smarter.,"Her şeyin interneti, günlük cihazları daha akıllı hale getiriyor.",0.32968640327453613
Renewable energy sources like solar power are growing in popularity.,Güneş enerjisi gibi yenilenebilir enerji kaynakları popülerlikte artıyor.,0.37900757789611816
Globalization is shaping economies and cultures around the world.,"Küreselleşme, dünyadaki ekonomileri ve kültürleri şekillendiriyor.",0.36681270599365234
The healthcare industry is undergoing rapid technological advancements.,Sağlık sektörü hızlı teknolojik gelişmelere maruz kalıyor.,0.4726095199584961
Robots are performing tasks that were once done by humans.,Robotlar bir zamanlar insanlar tarafından yapılmış olan görevleri yerine getiriyorlar.,0.9003534317016602
Quantum computing has the potential to revolutionize many industries.,"Kuantum bilgisayar, birçok endüstriyi devrimci hale getirme potansiyeline sahiptir.",0.9515867233276367
The pandemic has changed the way people work and live.,"Panda, insanların nasıl çalıştıklarını ve yaşadıklarını değiştirdi.",0.29795312881469727
Artificial intelligence is used in voice assistants like Siri.,"Yapay zeka, Siri gibi ses asistanlarında kullanılır.",0.27596449851989746
The rise of e-commerce is changing traditional retail models.,E-ticaret artışı geleneksel perakende modellerini değiştiriyor.,0.42115330696105957
Self-driving cars are expected to be common on the roads in the future.,Gelecekte otomobiller yollarda yaygın olacak.,0.30185508728027344
Big data is transforming how businesses make decisions.,"Büyük veriler, işletmelerin karar verme biçimini dönüştürüyor.",0.7300682067871094
The advancement of 5G technology is improving mobile connectivity.,"5G teknolojisinin gelişimi, mobil bağlantıların geliştirilmesidir.",0.8374278545379639
Social distancing is a measure to prevent the spread of infectious diseases.,"Sosyal uzaklaştırma, bulaşıcı hastalıkların yayılmasını önlemek için bir önlemdir.",0.5528388023376465
Technology is reshaping how we learn and access information.,"Teknoloji, nasıl öğreneceğimizi ve bilgi edineceğimizi yeniden canlandırıyor.",0.4503204822540283
Gaming has evolved into a multi-billion dollar industry.,"Oyunlar, milyar dolarlık bir endüstriye dönüşmüştür.",0.36040639877319336
Smart home devices can automate daily tasks like controlling lights.,"Akıllı ev cihazları, kontrol ışıkları gibi günlük görevleri otomatik hale getirebilir.",0.5136780738830566
SpaceX is working towards making space travel more affordable.,"SpaceX, uzay yolculuğunu daha uygun hale getirmek için çalışıyor.",0.421489953994751
3D printing is changing how we produce goods and objects.,"3D baskı, ürün ve nesnelerin nasıl üretildiğini değiştiriyor.",0.425264835357666
The development of AI in healthcare is improving diagnosis accuracy.,"Sağlık alanında AI’nin geliştirilmesi, teşhis doğruluğunu iyileştirir.",0.5192580223083496
Virtual reality is being used for immersive gaming experiences.,Sanal gerçeklik etkileyici oyun deneyimleri için kullanılır.,0.4143235683441162
Smart watches are tracking our health metrics in real time.,Akıllı saatler sağlık metriklerimizi gerçek zamanlı olarak izliyor.,0.3153223991394043
Cloud computing has made data storage more accessible and scalable.,"Bulut bilgisayar, veri depolamasını daha erişilebilir ve ölçeklenebilir hale getirdi.",0.4518158435821533
Education systems are integrating technology into their curriculums.,Eğitim sistemleri teknolojiyi ders programlarına entegre ediyor.,0.26587700843811035
Electric vehicles are more environmentally friendly than gasoline cars.,Elektrikli araçlar benzinli araçlardan daha çevre dostu.,0.3189418315887451
Machine translation helps break down language barriers.,"Makine çevirisi, dil engellerini kırmaya yardımcı olur.",0.3033590316772461
The rise of remote work is shifting workplace dynamics.,"Uzaktan çalışma dinamiklerinin yükselişi, çalışma alanının dinamiklerini değiştirir.",0.38010215759277344
Electric bikes are becoming a popular alternative to cars.,Elektrikli bisikletler otomobiller için popüler bir alternatif haline geliyor.,0.35036182403564453
Augmented reality is enhancing user experiences in retail.,"Gelişmiş gerçeklik, kullanıcı deneyimlerini perakende sektöründe geliştirir.",0.3525364398956299
